Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Price,Image Src
koka-kola-250-ml,Кока кола,Богат избор от студени и топли напитки,Делиорман,Безалкохолни и Топли Напитки,"Безалкохолни и Топли Напитки, soft-drinks-beverages",TRUE,Размер,250 ml,KOKA_KOLA_250_ML,0,,0,2.60,
koka-kola-ziro-250-ml,Кока Кола Зиро,Богат избор от студени и топли напитки,Делиорман,Безалкохолни и Топли Напитки,"Безалкохолни и Топли Напитки, soft-drinks-beverages",TRUE,Размер,250 ml,KOKA_KOLA_ZIRO_250_ML,0,,0,2.60,
fanta-portokal-250-ml,Фанта портокал,Богат избор от студени и топли напитки,Делиорман,Безалкохолни и Топли Напитки,"Безалкохолни и Топли Напитки, soft-drinks-beverages",TRUE,Размер,250 ml,FANTA_PORTOKAL_250_ML,0,,0,2.60,
fanta-limon-250-ml,Фанта лимон,Богат избор от студени и топли напитки,Делиорман,Безалкохолни и Топли Напитки,"Безалкохолни и Топли Напитки, soft-drinks-beverages",TRUE,Размер,250 ml,FANTA_LIMON_250_ML,0,,0,2.60,
sprayt-250-ml,Спрайт,Богат избор от студени и топли напитки,Делиорман,Безалкохолни и Топли Напитки,"Безалкохолни и Топли Напитки, soft-drinks-beverages",TRUE,Размер,250 ml,SPRAYT_250_ML,0,,0,2.60,
shveps-soda-250-ml,Швепс Сода,Богат избор от студени и топли напитки,Делиорман,Безалкохолни и Топли Напитки,"Безалкохолни и Топли Напитки, soft-drinks-beverages",TRUE,Размер,250 ml,SHVEPS_SODA_250_ML,0,,0,1.80,
shveps-250-ml,Швепс,"мандарина, битер лимон, тоник, розов грейпфрут, розов тоник",Делиорман,Безалкохолни и Топли Напитки,"Безалкохолни и Топли Напитки, soft-drinks-beverages",TRUE,Размер,250 ml,SHVEPS_250_ML,0,,0,2.60,
naturalen-sok-kapi-250-ml,"Натурален сок ""Капи""","праскова, кайсия, зел. ябълка, портокал, вишна, ябълка",Делиорман,Безалкохолни и Топли Напитки,"Безалкохолни и Топли Напитки, soft-drinks-beverages",TRUE,Размер,250 ml,NATURALEN_SOK_KAPI_250_ML,0,,0,2.80,
studen-chay-250-ml,Студен чай,"праскова, лимон, лайм",Делиорман,Безалкохолни и Топли Напитки,"Безалкохолни и Топли Напитки, soft-drinks-beverages",TRUE,Размер,250 ml,STUDEN_CHAY_250_ML,0,,0,2.80,
mineralna-voda-bankya-330-ml,"Минерална вода ""Банкя""",Богат избор от студени и топли напитки,Делиорман,Безалкохолни и Топли Напитки,"Безалкохолни и Топли Напитки, soft-drinks-beverages",TRUE,Размер,330 ml,MINERALNA_VODA_BANKYA_330_ML,0,,0,1.80,
energiyna-napitka-red-bull-250-ml,Енергийна напитка Red Bull,Богат избор от студени и топли напитки,Делиорман,Безалкохолни и Топли Напитки,"Безалкохолни и Топли Напитки, soft-drinks-beverages",TRUE,Размер,250 ml,ENERGIYNA_NAPITKA_RED_BULL_250_ML,0,,0,5.50,
